neighbourhood_group,neighbourhood,room_type,average_price,listings_count,average_minimum_nights,total_number_of_reviews,average_reviews_per_month
Brooklyn,Coney Island,Private room,160.0,3,1.0,118,1.5066666666666666
Brooklyn,Coney Island,Shared room,32.25,4,7.0,5,0.51
Brooklyn,Crown Heights,Entire home/apt,154.75497702909647,653,4.908116385911179,20220,1.3358039816232772
Brooklyn,Crown Heights,Private room,66.20770519262982,597,4.316582914572864,15884,1.131139028475712
Brooklyn,Crown Heights,Shared room,42.13333333333333,15,4.066666666666666,304,0.8833333333333333
Brooklyn,Cypress Hills,Entire home/apt,242.2941176470588,51,3.392156862745098,2468,2.5288235294117647
Brooklyn,Cypress Hills,Private room,56.28358208955224,67,7.029850746268656,1747,1.593731343283582
Brooklyn,Cypress Hills,Shared room,34.714285714285715,7,1.7142857142857142,267,2.111428571428571
Brooklyn,DUMBO,Entire home/apt,206.5,14,3.357142857142857,654,1.1292857142857142
Brooklyn,DUMBO,Private room,139.0,10,4.9,728,1.7239999999999998
Brooklyn,Downtown Brooklyn,Entire home/apt,180.55263157894737,38,5.684210526315789,821,0.8152631578947368
Brooklyn,Downtown Brooklyn,Private room,95.73684210526316,19,5.578947368421052,367,1.2284210526315789
Brooklyn,Dyker Heights,Entire home/apt,121.5,6,2.3333333333333335,273,1.955
Brooklyn,Dyker Heights,Private room,69.5,4,2.5,141,1.595
Brooklyn,Dyker Heights,Shared room,39.0,1,5.0,1,0.77
Brooklyn,East Flatbush,Entire home/apt,129.52631578947367,171,3.7017543859649122,7648,2.1843859649122805
Brooklyn,East Flatbush,Private room,94.81589958158996,239,5.192468619246862,4708,1.4553556485355648
Brooklyn,East Flatbush,Shared room,45.05555555555556,18,20.77777777777778,92,0.31833333333333336
Brooklyn,East New York,Entire home/apt,117.98863636363636,88,3.965909090909091,4349,2.653181818181818
Brooklyn,East New York,Private room,60.336633663366335,101,3.9603960396039604,2368,1.4344554455445544
Brooklyn,East New York,Shared room,87.66666666666667,3,1.3333333333333333,42,0.9866666666666667
Brooklyn,Flatbush,Entire home/apt,128.54090909090908,220,4.677272727272728,5673,1.1189090909090909
Brooklyn,Flatbush,Private room,68.26538461538462,260,3.55,6786,1.1125384615384615
Brooklyn,Flatbush,Shared room,57.11764705882353,17,2.5294117647058822,328,0.9788235294117648
Brooklyn,Flatlands,Entire home/apt,131.96296296296296,27,3.5555555555555554,964,1.977037037037037
Brooklyn,Flatlands,Private room,75.76315789473684,38,2.0,855,1.3576315789473683
Brooklyn,Flatlands,Shared room,22.0,1,1.0,20,1.28
